SR No.,CompanyName,Post,JobID,Type,Location,Skills,CTC,AppliedThrough,Comments,DateApplied,Link1,Link2
11,Synopsys,Data Analyst (License Compliance),47343BR,Full-time,Noida,,ND,Offial Website,,,https://sFull-times.brassring.com/TGnewUI/Search/home/HomeWithPreLoad?Full-timeid=1999448&codes=OT&siteid=5359&partnerid=25235&PageType=Full-timeDetails#Full-timeDetails=1999448_5359,
12,Neilsen,Analyst,,Full-time,Mumbai,,ND,Offial Website,,,Nielsen - Analyst,
13,Phonepe,Analyst ,,Full-time,WFM,,ND,Offial Website,,,Full-time Application for Analyst - WFM at PhonePe,
14,HCLTech,Junior Data Analyst,HCLTFP849426,Full-time,Across India,"Python, SQL, Power BI, tableau",ND,Offial Website,,,https://merademyFull-times.com/index.php/2024/01/17/hcltech-is-hiring-for-junior-data-analyst-apply-now-2/,
15,Citi Bank,Officer Business Analytics,23699179,Full-time,bangalore,Python Hive SQL Excel,ND,Offial Website,,,Officer Business Analytics,
16,Citi Bank,Customer Remediation Business Control Analyst,23657717,Full-time,Chennai,"Computer skills: Microsoft Word, Outlook, Excel, Batch Doc Exporter and SharePoint",ND,Offial Website,,,https://Full-times.citi.com/Full-time/-/-/287/49545961696?utm_term=326266872&ss=paid&utm_campaign=APAC_Lateral&utm_medium=Full-time_posting&source=LinkedInJB&utm_source=linkedin.com&utm_content=social_media&dclid=CjkKEQiAwbitBhC907GHkeSM2a8BEiQAJTNGqHf0qrz7_6y0pGwVHSx4ZMiJJ6nr9GmJdEnbihD-MFXw_wcB,
17,LatentView,Analyst Data Science,,Full-time,Chennai,"Python, SQL, PowerBI, Tableau, cloud platforms such as AWS, Azure, GCP etc would be preferable",ND,Naukri.com,,,https://www.naukri.com/Full-time-listings-analyst-data-science-latentview-analytics-limited-chennai-0-to-4-years-230124007758?src=drecomm_apply&sid=17060671320604900&xp=12&px=1,
18,LatentView,Analyst,,Full-time,Chennai,"Python, SQL, PowerBI, Tableau, Java scripts or such tools in cloud platforms such as AWS, Azure, GCP etc would be preferable.",ND,Offial Website,Sent msg to- Somdeep Acharyya (on LinkedIn),,LatentView,
19,Deliveroo,Data Analyst,,Full-time,Hyderabad,"Tableau, Python, SQL, Excel/GSheets",ND,LinkedIn,Sent msg to- Vandit Mehta (on LinkedIn),,Full-time Application for Data Analyst at Deliveroo,
20,Augmenta Asset Manager,Junior Data Analyst,,Full-time,Mumbai,"Excel, Gsheet",ND,LinkedIn,Sent email to Full-times@augmenta.co.in,,https://www.linkedin.com/Full-times/view/3811719279/?trackingId=p915ps13QQCm2QZSCvPSXw%3D%3D&refId=ilf4oQu6TdeitjLxhatuQg%3D%3D&midToken=AQEDJxtRU3TEqw&midSig=3qAcOOR-rETH41&trk=eml-email_Full-time_applications_update_digest_01-similar_Full-times-0-similar_Full-times_Full-time_card&trkEmail=eml-email_Full-time_applications_update_digest_01-similar_Full-times-0-similar_Full-times_Full-time_card-null-b14rw0~lrqxmgz2~tn-null-null&eid=b14rw0-lrqxmgz2-tn&otpToken=MTQwMzE5ZTAxMTJlY2FjNDI0MjQwNGVkNDYxOGU3YjA4NDNDZDY0NzkxYTk4ODYxNzljMzAzNDY0ZDUzNTVmMGYzZGRkZjhhMWJkN2RiZmY3NTg0ZDBhYzAzNGE4NTM2OTAzZmU5NzZhZDU1ZWIyYTljYjg5NSwxLDE%3D,
21,V5 Global Services Private Limited,Data Analyst,,Full-time,Banglore,Data Analyst or Business Data Analyst,ND,LinkedIn,,,https://www.linkedin.com/Full-times/view/3807491573/?refId=%2FpHAoKgOR8KeXjrNj3Lihw%3D%3D&trackingId=nCsOkfAVRt2s1seZv4wLNg%3D%3D,
22,GRANICUS,Data Analyst,,Full-time,Banglore,"PowerBI, Tableau, Python , SQL, data science principles, statistical analysis and market research techniques or methodologies, ",ND,Offial Website,Process of Company (If given),,https://Full-times.lever.co/granicus/c28f0fc3-32e9-47a7-aaf8-2effe67c6774,
23,Different Hair Pvt. Ltd,Data analyst,,Full-time,Chennai,"Python, SQL, Statistics, Mathematics, Power BI",3.5 - 6LPA,LinkedIn,,,https://www.linkedin.com/Full-times/view/3809633806/?trackingId=grJwI%2FroRjOu05T31L7Few%3D%3D&refId=eyhqyTkzR1CiQQgEyC8p8w%3D%3D&midToken=AQEDJxtRU3TEqw&midSig=2JIa1ScCylUr41&trk=eml-Full-times_jymbii_digest-Full-time_card-0-Full-timecard_body&trkEmail=eml-Full-times_jymbii_digest-Full-time_card-0-Full-timecard_body-null-b14rw0~lrrm2vgh~19-null-null&eid=b14rw0-lrrm2vgh-19&otpToken=MTQwMzE5ZTAxMTJlY2FjNDI0MjQwNGVkNDYxOGU3YmQ4ZmNjZDQ0MzkxYWI4NzYxNzljMzAzNDY0ZDUzNTVmMGYzZGRkZjhhNjdmM2ZhYzA1MDgxYWJjOGIyOWZhZGQyZDRiYWE4MjQ3Nzk0ZGMyNWM2ZmE3MiwxLDE%3D,
24,NeoTech Solutions,Data Analyst,,Contract,Remote,"Python, SQL, Statistics, Mathematics, Power BI, MS Office, SAS Software",ND,LinkedIn,,,https://www.linkedin.com/Full-times/view/3809617625/?trackingId=NKAT%2BTos7d6XhWo51HNEXg%3D%3D&refId=ByteString%28length%3D16%2Cbytes%3D0b266aa6...40649bb0%29&midToken=AQEDJxtRU3TEqw&midSig=29Azw7t-2yUr41&trk=eml-email_Full-time_alert_digest_01-Full-time_card-0-Full-timecard_body&trkEmail=eml-email_Full-time_alert_digest_01-Full-time_card-0-Full-timecard_body-null-b14rw0~lrrmkdlk~qq-null-null&eid=b14rw0-lrrmkdlk-qq&otpToken=MTQwMzE5ZTAxMTJlY2FjNDI0MjQwNGVkNDYxOGU3YmQ4ZWNlZDU0OTlmYWQ4ZDYxNzljMzAzNDY0ZDUzNTVmMGYzZGRkZmE0MTZiOWNkODg2M2E2ZTNlNzk0Yzg5NTJkYzkwNWU1MjkxOTMwYjFkNzdkOGQ0OCwxLDE%3D#HYM,
25,Innometrics Solutions,Data Analyst / Data Scientist,77972,Full-time,ND,"data,sql,database,reporting,sql server,database design,design",4-5 LPA,Offial Website,,,https://app.pyjamahr.com/careers?company=Innometrics%20Solutions&Full-time_id=77972&company_uuid=530B81DE5C&source=LINKEDIN&apply_now=true,
26,Worko.ai,Data Science ,,Internship  ,WFH,"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), NoSQL, Python, SQL",3000 + Incentive,Internshala,,,https://internshala.com/internship/detail/data-science-work-from-home-Full-time-internship-at-workoai1697186166?referral=student_digest_active,
27,IntouchCX,Junior Data Analyst,,Full-time,Hyderabad,Data Management · Visualization · Data Science · Data Analysis · Data Visualization · Data Analytics · Business Insights · Communication · Statistical Analysis · SQL Server Integration Services (SSIS) -,ND,LinkedIn,,,https://www.linkedin.com/Full-times/view/3729292176/,
28,SKF,Data Analyst,19053,Full-time,Bangalore,"Data Interpretation, Statistical Analysis, Data Visualization, Data Cleaning and Preprocessing, Excel, Tableau, Power BI, Python,  SQL",ND,Offial Website,Yet to apply (sent msg for refferal),25/01/2024 (msg sent),Data Analyst,
29,Healofy,Data Analyst,,Full-time,Bangalore,"Ad Hoc Analysis, Ad Hoc Analysis, Data Mining, Statistics Analytics, Big Data, Analytical Skills, Proficient in SQL","₹500,000/yr - ₹600,000/yr",Offial Website,,25-01-2024,https://www.expertia.ai/healofy/Full-time/hiring-data-analyst-64899d0a1441b3856211fda7?utm_source=linkedin-feed&easy_apply=true,
30,ASSA ABLOY Group,Data & Analytics Business Analyst,,Full-time,Chennai,,ND,Offial Website,,25-01-2024,https://assaabloy.Full-times2web.com/Full-time/Chennai-Data-&-Analytics-Business-Analyst-600-032/1015356001/?utm_source=LINKEDIN&utm_medium=referrer,
31,Confidential,Data Analyst,,Full-time,Bangalore,Data Analysis · Microsoft Excel · Microsoft Power BI · Python (Programming Language) · SQL · Tableau · Business Analysis · Communication · User Experience (UX) · Written Communication,ND,LinkedIn,Google form (apply form),25-01-2024,https://www.linkedin.com/Full-times/view/3810176910/?refId=27OoZAjy50qWa09wsxcb6w%3D%3D,
32,Awesome Analytics,Data Analyst,,Full-time,Remote,"Data Analysis, Data Analytics, Microsoft Power BI, VBA Excel, Data-Driven Insights, Diversity, Excel Automation, Fostering inclusivity, Microsoft Power Automate, Skill Development",ND,LinkedIn (Official website),,25-01-2024,https://www.linkedin.com/Full-times/search/?currentFull-timeId=3812892916&f_C=13346506&geoId=92000000&origin=COMPANY_PAGE_Full-timeS_CLUSTER_EXPANSION&originToLandingFull-timePostings=3812892916,
33,WebGo Software Labs,Data Analyst,,Internship,Remote,"data,data analysis,organizational skills",ND,LinkedIn,,25-01-2024,https://www.linkedin.com/Full-times/view/3814030881/?alternateChannel=search&eBP=CwEAAAGNQdCHyI9GKSOnxuJO6BTztpht-WTU57_i252UGgM36QXP3j7qUxIvje5BesEcqIWQC_CZq7RiA11d0fugeXof2bD3mpdoAMRD9M8kTSayLUh5Me58jrMXqPBJDzjJNQ_JkCq3-0mdSiAtnxM79pcftX3SSsYhIuE0K76r1eZ7SC9uMWoFFsrbxZZ5HAIJ1RjntjA1i23ApGqp8W3GEqgVwzrNtfK9T6vB6_8fweEmMG2SqRqtvzYNzNelCSc7ZPJYKBZ67Oyci-UheA_qLv--ADcYDP3d7ptOSPDPBPYDR2ky40g0z9EhKBTBTxMG53nlzsYH-YW98T4w5hJlj5MkM4pOe6h_LgPReg&refId=hgdQ7eBYi12vzqywlvG5Yw%3D%3D&trackingId=RUF7w3%2BAfmlE%2Bg28xHN8lg%3D%3D,
34,Rekruton Technologies,Data Analyst,,Full-time,India(Remote),"Analytical Skills, Dashboards, Data Analytics, Data Manipulation, Image Editing, Business Analysis, Communication, Key Metrics, Key Performance Indicators. Problem-Solving",ND,LinkedIn,,26-01-2024,https://www.linkedin.com/Full-times/view/3813707094/?trackingId=Zp4bE4nkS1%2B7U7TJp5kLQA%3D%3D&refId=%2Fwe8qxqvQx6TfB1rLHggIQ%3D%3D&midToken=AQEDJxtRU3TEqw&midSig=3KiZD4ptVyWr41&trk=eml-email_Full-times_viewed_Full-time_reminder_01-Full-time_card-0-Full-timecard_body&trkEmail=eml-email_Full-times_viewed_Full-time_reminder_01-Full-time_card-0-Full-timecard_body-null-b14rw0~lrtl9i7a~68-null-null&eid=b14rw0-lrtl9i7a-68&otpToken=MTQwMzE5ZTAxMTJlY2FjNDI0MjQwNGVkNDYxOGU1YjU4ZmNlZDY0NTlhYTc4ZTYxNzljMzAzNDY0ZDUzNTVmMGYzZGRkZmI2NTZmN2ViY2I1YjljY2I0NDgxYTEzYjVmZGYzMjZkMTZlMDBiOGI0OThiOGY3YSwxLDE%3D,
35,CloudHire,Data Analyst,,Full-time,India(Remote),Statistical Data Analysis · Visualization · Analytics · Data Mining · Data Analytics · Data Science · Data Visualization · Data Architecture · Statistical Analysis · Data Profiling,ND,LinkedIn,,26-01-2024,https://www.linkedin.com/Full-times/view/3719406614/?alternateChannel=search&refId=3XrA8fj7t0YrSIPTadgpVQ%3D%3D&trackingId=C%2Bz5tyTP4rhq5aU9V2%2Bvmg%3D%3D,
36,Insticator,Data Analyst,,Contract,Remote,"Data Analysis, Data Analytics, Data Visualization, Databases, and Spreadsheets, Attention to Detail, Communication, Google Sheets, Presentation Skills, and Presentations
",ND,Offial Website,,26-01-2024,https://insticator.bamboohr.com/careers/226,
37,Right Customer,Data Analyst,,Full-time,Remote,,ND,LinkedIn,,26-01-2024,https://www.linkedin.com/Full-times/view/3793985033/?alternateChannel=search&refId=9DQqMoPgclaTIK5iV3UV4Q%3D%3D&trackingId=mvTvSaHY38cybdOKUtzdaQ%3D%3D,
38,S&P Global,Data Analyst,293364,Full-time,Bangalore,Databases · Visualization · Mathematics · Analytics · Data Analytics · Data Science · Data Visualization · Computer Science · Problem Solving · Communication,ND,Offial Website & LinkedIn,,26-01-2024,https://careers.spglobal.com/Full-times/293364?lang=en-us&utm_source=linkedin,
39,BharatX,Data Analyst,,Full-time,Bangalore,"SQL, Python, Tableau, Power BI, Dashboards · Databases · Visualization · Data Science · Data Visualization · Data Analytics · Analytical Skills · Statistics · Communication · Problem Solving",ND,LinkedIn,,26-01-2024,https://www.linkedin.com/Full-times/view/3801784860/?trackingId=Q4LpviGIReeeKRKKfcLbsQ%3D%3D&refId=cjNfc64%2FRYif3PfFdj6WqA%3D%3D&midToken=AQEDJxtRU3TEqw&midSig=35RjpTPGuHXb41&trk=eml-Full-times_jymbii_digest-Full-time_card-0-Full-timecard_body&trkEmail=eml-Full-times_jymbii_digest-Full-time_card-0-Full-timecard_body-null-b14rw0~lrufgkpx~th-null-null&eid=b14rw0-lrufgkpx-th&otpToken=MTQwMzE5ZTAxMTJlY2FjNDI0MjQwNGVkNDYxOGU1YjI4ZmNiZDI0NTkxYTg4ZTYxNzljMzAzNDY0ZDUzNTVmMGYzZGRkZjkyNTNlMmJlZTk1MWIwYTIwNDAxM2Q3MDUzNDZmNjRjMzRmZWU4OGJjMWY1NTIyMiwxLDE%3D,
40,Tata Consultancy Services,Power BI,,Full-time,Hyderabad,"SQL, DAX",ND,LinkedIn,,26-01-2024,https://www.linkedin.com/Full-times/view/3803627770/?refId=twjc40gwSGWamjKkFuv9bw%3D%3D&trackingId=vopcANUTRcOSlRLhg%2BWA3A%3D%3D,
41,InfiHire,Data Analyst,,Full-time,Bangalore,Visualization · Data Analysis · Analytics · Data Visualization · Data Science · Data Analytics · Presentations · Predictive Analytics · Communication · Problem Solving,ND,LinkedIn,,26-01-2024,https://www.linkedin.com/Full-times/view/3798265542/?alternateChannel=search&refId=8pyXSSBY6cCiQ5QHJKQ2Kw%3D%3D&trackingId=0OYRwi0%2Bk6d%2FyhxFtNBkFQ%3D%3D,
42,McCormick & Company,Data Visualization Analyst,,Full-time,Gurugram,"Analytical Skills · Dashboards · Data Analysis · Data Analytics · Data Mining · Microsoft Power BI · Business Intelligence (BI) · SAP HANA · Scorecard · Structured Data power BI, Power Query, SQL",ND,LinkedIn,Message sent to  Sneha Kankerval on LinkedIn (and applied on LinkedIn),27-01-2024,https://www.linkedin.com/Full-times/view/3808283509/?alternateChannel=search&refId=wpywOHT25n2xtI7CCrSQoQ%3D%3D&trackingId=8vFYghWevSTOi65fxoXPgg%3D%3D,
43,Trafigura,Analyst - Information Analytics,,Full-time,Mumbai,"Python, Tableau, SQL databases",ND,Naukri.com,,27-01-2024,https://www.naukri.com/job-listings-250124009021,
44,Eduvanz,Business Analyst - SQL Specialist,,Full-time,Mumbai,"SQL Queries, SQL DatabaseSQL",5-10 Lacs P.A.,Naukri.com,,27-01-2024,https://www.naukri.com/job-listings-business-analyst-sql-specialist-eduvanz-mumbai-maharashtra-mumbai-suburban-maharashtra-mumbai-all-areas-0-to-2-years-250124010637?src=simJobDeskACP&sid=17063303356407053&xp=1&px=1,
45,Creative Hands HR,Data Analytic | Business Analytics,,Full-time,"Kolkata, Mumbai, Hyderabad/Secunderabad, Ranchi, Jharkhand, Chennai, Bangalore",Business Analytics Data Analysis Data Analytics excel Analytical Skills freshers MIS Data Analyst,4.5-6 Lacs P.A.,Naukri.com,,27-01-2024,https://www.naukri.com/job-listings-data-analytic-fresher-business-analytics-creative-hands-hr-kolkata-mumbai-maharashtra-hyderabad-secunderabad-ranchi-jharkhand-chennai-bangalore-bengaluru-0-to-4-years-020124003015?src=simJobDeskACP&sid=17063303356407053&xp=10&px=1,
46,Codenera,Data Analyst Trainee,,Full-time,Pune,"Python, SQL Development, Data Management, Data Analysis, SQL Database, Data Mining, Data Extraction, Python Development, Data Analytics, SQL, DBA",3-6 Lacs P.A.,Naukri.com,,27-01-2024,https://www.naukri.com/job-listings-data-analyst-trainee-codenera-pune-maharashtra-0-to-2-years-090124006987?src=simJobDeskACP&sid=17063309374762055&xp=1&px=1,
47,Sukarma Technologies,AI - Data Analytics - Text Analytics - Chatbot,,Full-time,WFH,"Text analysis,Advanced Excel,Chat Bot",4-9 Lacs P.A.,Naukri.com,,27-01-2024,https://www.naukri.com/job-listings-ai-data-analytics-text-analytics-chatbot-urgent-work-from-home-sukarma-technologies-delhi-ncr-0-to-5-years-040124010354?src=simJobDeskACP&sid=17063309374762055&xp=6&px=1,
48,JLL,Data Analyst,REQ336572,Full-time,Mumbai,"MS Office (WORD, PPTX, EXCEL), Data Visualization by day, week, quarter...",ND,Official Website,,27-01-2024,https://jll.wd1.myworkdayjobs.com/jllcareers/job/Mumbai-MH/Data-Analyst_REQ336572?source=APPLICANT_SOURCE-6-42,
49,Wipro,Data Analyst,,Full-time,Pune,Visualization · SQL · Data Analytics · Data Visualization · Data Science · Analytics · RDBMS · PySpark · Written Communication · Communication,ND,LinkedIn,,27-01-2024,https://www.linkedin.com/jobs/view/3803630773/?alternateChannel=search&refId=UNBqzrpuqy1mEFr6MWZVKQ%3D%3D&trackingId=MsxBe79BiA0QOPRaYtiHqQ%3D%3D,
50,Pianalytix Edutech Private Limted,Microsoft Power BI,,Internship (Part-time),WFH,"Business Analysis, Data Analysis, Data Analytics, Power BI","₹ 20,000 /month",Internshala,,27-01-2024,https://internshala.com/internship/detail/work-from-home-part-time-microsoft-power-bi-internship-at-pianalytix-edutech-private-limted1706258628,
51,YTViews Digital Media Private Limited,Artificial Intelligence (AI),,Internship (Part-time),WFH,"Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python","₹ 24,000 /month",Internshala,,27-01-2024,https://internshala.com/internship/detail/work-from-home-part-time-artificial-intelligence-ai-internship-at-ytviews-digital-media-private-limited1706257533,
52,Deloitt,Data Visualization/Tableau Developer,170683,Full-time,Hyderabad/Bangalore,"DevOps principals such as Continuous Integration/Continuous Delivery, Azure DevOps, Tableau,",ND,Official Website,,27-01-2024,Data Visualization/Tableau Developer - - 170683,
53,Tata Technologies,ALM Users - Data Mining,,Full-time (3 Month),Bangalore/Pune,,ND,Official Website,Mail Sent to shital.jakkulwar@tatatechnologies.com,27-01-2024,https://tatatechnologies.ripplehire.com/candidate/?token=jjZIWXgr7fPCCF6T5yk4&source=CAREERSITE#detail/job/536373,
54,Innovaccer Inc.,Intern - Data Operations,,Full-time,Noida,"advanced MS Excel, PowerBI, Tableau, Word, PowerPoint, etc",ND,LinkedIN--> Website,,28-01-2024,https://boards.greenhouse.io/innovaccer/jobs/7036996002,
55,Sybex Support Services,Data Governance Analyst,,Contract,Remote (India),Analytical Skills · Data Analysis · Data Analytics · Data Mining · Mathematics · SQL · Statistics · Ad Hoc Analysis · Big Data · Data Governance,ND,LinkedIn,,29-01-2024,https://www.linkedin.com/jobs/view/3813000956/?refId=fe63936e-2e04-4d56-992a-dd84affe5ce6&trackingId=r7au76PXTuq8rPh8DJFsmg%3D%3D,
56,Lennox India Technology Centre,Senior Analyst -Labview Development,,Full-time,Chennai,"MATLAB, Simulink, HIL, NI LabVIEW",ND,LinkedIn,,29-01-2024,https://www.linkedin.com/jobs/view/3795818865/?refId=91b3bc0e-8dba-4057-834c-b71bd07e7422&trackingId=X9F8blhRSsyxSp919q%2FDHQ%3D%3D,
57,Inspire,Tech Data Analyst,T500-9791,Full-time,Hyderabad,"Data Analysis, Extract, Transform, Load (ETL)",ND,LinkedIn,,29-01-2024,https://www.linkedin.com/jobs/view/3815325825/?refId=91b3bc0e-8dba-4057-834c-b71bd07e7422&trackingId=7YrAE3CtR5mwIV0SQiH2gg%3D%3D&trk=flagship3_job_home_savedjobs,
58,Innometrics Solutions,Data Analyst (Fresher Trainee),,Full-time,Remote,"Solid knowledge of website analytics tools (e.g., Google Analytics, Web Trends),  data, analytics, management, python, SQL, power bi","₹400,000/yr - ₹500,000/yr",LinkedIN--> Website,,29-01-2024,https://www.linkedin.com/jobs/view/3812609139/?refId=91b3bc0e-8dba-4057-834c-b71bd07e7422&trackingId=xOvhY9bRQq2RLJm3B0eY0w%3D%3D&trk=flagship3_job_home_savedjobs,
59,Siemens Healthineers,Data Visualization & Business Intelligence Specialist,404268,10 months Contract,Bangalore,"Data Visualization · Databases · Data Engineering · Analytical Skills · Data Analytics · Analytics · Data Science · Big Data · Extract, Transform, Load (ETL) · Data Modeling",ND,LinkedIN--> Website,,29-01-2024,https://jobs.siemens-healthineers.com/careers/job/563156118152798?hl=en&sourceType=PREMIUM_POST_SITE&domain=siemens.com&microsite=siemens-healthineers,https://www.linkedin.com/jobs/view/3812712868/?refId=91b3bc0e-8dba-4057-834c-b71bd07e7422&trackingId=vWFGe2RlQ2KtiuroOCQgxA%3D%3D&trk=flagship3_job_home_savedjobs
60,Wrike,Customer Support Data Analyst,,1 Year (Contract),Bengaluru,"knowledge of SQL, databases (we use Google BigQuery) and statistics basics, Knowledge of BI tools, Strong analytical and problem-solving skills, Experience with Python",ND,LinkedIN--> Website,,29-01-2024,https://boards.greenhouse.io/wrike/jobs/4349032005?gh_src=d39591f15us&source=LinkedIn,
61,Wipro,Data Engineer,3049365,Full-Time,Bengaluru,"Apache Spark, Data Analytics, Data Engineering, Data Science, and Databases, Attention to Detail, Communication, Data Warehousing, Extract, Transform, Load (ETL), and Problem Solving",ND,LinkedIN--> Website,,29-01-2024,https://careers.wipro.com/careers-home/jobs/3049365?mode=job&iis=Social%2BMedia&iisn=Linkedin&lang=en-us&utm_source=Linkedin,https://www.linkedin.com/jobs/view/3811012064/?refId=91b3bc0e-8dba-4057-834c-b71bd07e7422&trackingId=wtFDS4GYQdSc88xlUPefuw%3D%3D&trk=flagship3_job_home_savedjobs#HYM
62, Softsensor.ai ,Data Scientist,,Full-Time,WFH,"Data Analytics, Data Science, Machine Learning, Python, SQL","₹ 5,00,000 - 7,00,000",Internshala,,18-01-2024,Data Scientist Job (Remote),
63,Siemens Healthcare Private Limited,Software Developer,399036,Full-time,Bengaluru,"Python, OOPS programming skills, C++",ND,Website,,30-01-2024,https://jobs.siemens.com/careerhub/explore/jobs/563156118128924,
64,Square Yards,Data Analyst,,Full-time,Gurugram,"Mathematics, Ad Hoc Analysis, Data Mining, Statistics, Analytics, Big Data, Analytical Skills","₹400,000/yr - ₹600,000/yr",Website,,30-01-2024,https://www.expertia.ai/squareyards-co-in/job/hiring-data-analyst-643e6c0c3ff35309116dd41c?utm_source=linkedin-feed&easy_apply=true,
65,Agrim Wholesale,Business Analyst,,Full-time,Gurugram,"Business Analytics,Advanced Excel,SQL,Data Insighting",ND,Naukri.com,,30-01-2024,https://www.naukri.com/mnjuser/inbox,
66,Super Consultancy,Data Analyst,,Full-time,Noida,"Python, SQL, ML and data analysis techniques,  Power BI and Excel, Microsoft Office tools",0 - 9 Lacs pa,Naukri.com,,24-01-2024,https://www.naukri.com/mnjuser/inbox,
67,Prodigy Recruitment Consultants,Data Scientist,,Full-time,Chennai,"Data Science, Data Scientist, Statistical Modeling, Predictive Modeling, Data Mining, Regression Modeling, Statistics, R, Mechine Learning, data analysis using SQL, regression Classification, Data Visualization, Data Analytics, Predictive Analytics, Python, ML",ND,Naukri.com,,31-01-2024,https://www.naukri.com/job-listings-data-scientist-chennai-prodigy-recruitment-consultants-chennai-tamil-nadu-0-to-5-years-280124000025?src=drecomm_apply&sid=17066846421798098&xp=1&px=1,
68,Morningstar,Junior Analyst,,Full-time,Navi Mumbai,"Administration, Visual Basic, Excel, Regulatory reporting, Analytical, Workflow, Manager Quality Control, SQL, Data extraction, Python",ND,Naukri.com,,31-01-2024,https://www.naukri.com/job-listings-junior-analyst-morningstar-india-p-ltd-mumbai-0-to-3-years-230124502072?src=simJobDeskACP&sid=17066850101741213&xp=7&px=1,
69,Analytics Jobs,Data Science Engineer,,Full-time,Remote (Bangalore office),"Artificial Intelligence, machine learning, data science, Data Analytics, Python, Tensorflow, Automation, Natural Language Processing, HTML, HTTP, Deep Learning, apache, computer vision
",8-18 Lacs P.A.,Naukri.com,,31-01-2024,,
70,Wrtr Ink Llp,Junior Data Scientist,,,Remote (Bengaluru office),Data Science analytical Pandas NumPy Statistics Machine Learning Deep Learning Scikit-Learn Python,4.75-8 Lacs P.A.,Naukri.com,,01-02-2024,https://www.naukri.com/job-listings-030923002456,
71,Coursry,Data Analyst,,Full-time,Noida,Analytical Skills · Analytics · Data Analysis · Data Analytics · Data Mining · Mathematics · SQL · Statistics · Ad Hoc Analysis · Big Data,ND,LinkedIn,,01-02-2024,https://www.linkedin.com/jobs/view/3813617582/?trackingId=%2FAWub3flTQWSDnJ%2BqKUBlw%3D%3D&refId=Z1BB2A8ETom2j1Lgdvtlog%3D%3D&midToken=AQEDJxtRU3TEqw&midSig=3XNPhCluzG2b81&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body-null-b14rw0~ls1lrpjc~ij-null-null&eid=b14rw0-ls1lrpjc-ij&otpToken=MTQwMzE5ZTAxMTJlY2FjNDI0MjQwNGVkNDYxOGUxYmQ4YmNkZDg0MzkxYTk4YjYxNzljMzAzNDY0ZDUzNTVmMGYzZGRkZmUyMWFkNWRlZTE1OGIzYWNDYmU0M2E0ODZiNWZiMTFlMTM3MzZmMjA4ODQ1MWY3MCwxLDE%3D,
