SR No.,CompanyName,Post,JobID,Type,Location,Skills,AppliedThrough,DateApplied,Application Status,Application Notes,Comments
35,Ozibook Tech Solutions Private Limited,Data Analyst,,Full-Time,Bangalore,"Power BI, NLP, Excel",Official Website,19-01-2024,No Response,No response received,
36,Citi Bank,Customer Remediation Business Control Analyst,23657717,Full-time,Chennai,"Computer skills: Microsoft Word, Outlook, Excel, Batch Doc Exporter and SharePoint",Offial Website,20-01-2024,No Response,No response received,
37,LatentView,Analyst Data Science,,Full-time,Chennai,"Python, SQL, PowerBI, Tableau, cloud platforms such as AWS, Azure, GCP etc would be preferable",Naukri.com,20-01-2024,No Response,No response received,
38,LatentView,Analyst,,Full-time,Chennai,"Python, SQL, PowerBI, Tableau, Java scripts or such tools in cloud platforms such as AWS, Azure, GCP etc would be preferable.",Offial Website,20-01-2024,No Response,No response received,Sent msg to- Somdeep Acharyya (on LinkedIn)
39,Codenera,Data Analyst,,Full-Time,Chennai,"Deep Learning, Machine Learning, Python libraries (Matplotlib, Seaborn), Power BI",Official Website,20-01-2024,No Response,No response received,
40,Pianalytix Edutech Private Limted,ALM Users - Data Mining,,Full-Time,Mumbai,"Statistics, Excel",Internshala,20-01-2024,No Response,No response received,
41,Deliveroo,Data Analyst,,Full-time,Hyderabad,"Tableau, Python, SQL, Excel/GSheets",LinkedIn,21-01-2024,No Response,No response received,Sent msg to- Vandit Mehta (on LinkedIn)
42,Augmenta Asset Manager,Junior Data Analyst,,Full-time,Mumbai,"Excel, Gsheet",LinkedIn,21-01-2024,No Response,No response received,Sent email to Full-times@augmenta.co.in
43,V5 Global Services Private Limited,Data Analyst,,Full-time,Banglore,Data Analyst or Business Data Analyst,LinkedIn,21-01-2024,No Response,No response received,
44,TekJobs,Officer Business Analytics,,Full-time,Delhi,"TensorFlow, Python libraries (Matplotlib, Seaborn), Python",Naukri,21-01-2024,No Response,No response received,
45,GRANICUS,Data Analyst,,Full-time,Banglore,"PowerBI, Tableau, Python , SQL, data science principles, statistical analysis and market research techniques or methodologies, ",Offial Website,22-01-2024,No Response,No response received,Process of Company (If given)
46,Different Hair Pvt. Ltd,Data analyst,,Full-time,Chennai,"Python, SQL, Statistics, Mathematics, Power BI",LinkedIn,22-01-2024,No Response,No response received,
47,Akamai Technologies,Data Analyst,,Internship,Chennai,"Pandas, Power BI, Google Sheets, Python libraries (Matplotlib, Seaborn)",Internshala,22-01-2024,No Response,No response received,
48,NeoTech Solutions,Data Analyst,,Contract,Remote,"Python, SQL, Statistics, Mathematics, Power BI, MS Office, SAS Software",LinkedIn,23-01-2024,No Response,No response received,
49,Innometrics Solutions,Data Analyst / Data Scientist,77972,Full-time,ND,"data,sql,database,reporting,sql server,database design,design",Offial Website,23-01-2024,No Response,No response received,
50,TekJobs,Machine Learning,,Full-time,WFH,"Excel, Jupyter Notebook",Indeed,23-01-2024,No Response,No response received,
51,Sandhan Learning,Data Science,,Full-Time,Hyderabad,"Python libraries (Matplotlib, Seaborn), Pandas, Power BI, Jupyter Notebook",Indeed,23-01-2024,No Response,No response received,
52,Worko.ai,Data Science ,,Internship  ,WFH,"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), NoSQL, Python, SQL",Internshala,24-01-2024,No Response,No response received,
53,IntouchCX,Junior Data Analyst,,Full-time,Hyderabad,Data Management Â· Visualization Â· Data Science Â· Data Analysis Â· Data Visualization Â· Data Analytics Â· Business Insights Â· Communication Â· Statistical Analysis Â· SQL Server Integration Services (SSIS) -,LinkedIn,24-01-2024,Proceed with Another Candidate,Consider other opportunities,
54,Super Consultancy,Data Analyst,,Full-time,Noida,"Python, SQL, ML and data analysis techniques,  Power BI and Excel, Microsoft Office tools",Naukri.com,24-01-2024,No Response,No response received,
55,NetApp,Decision Analytics Associate,,Internship (3 Months),Chennai,"NLP, Statistics, Python libraries (Matplotlib, Seaborn), Excel",LinkedIn,24-01-2024,No Response,No response received,
56,MedTourEasy,Data Analyst,,Full-time,Hyderabad,"Google Sheets, Tableau",Internshala,24-01-2024,No Response,No response received,
57,SKF,Data Analyst,19053,Full-time,Bangalore,"Data Interpretation, Statistical Analysis, Data Visualization, Data Cleaning and Preprocessing, Excel, Tableau, Power BI, Python,  SQL",Offial Website,25-01-2024,Rejected,Consider other opportunities,Yet to apply (sent msg for refferal)
58,Healofy,Data Analyst,,Full-time,Bangalore,"Ad Hoc Analysis, Ad Hoc Analysis, Data Mining, Statistics Analytics, Big Data, Analytical Skills, Proficient in SQL",Offial Website,25-01-2024,Rejected,Consider other opportunities,
59,ASSA ABLOY Group,Data & Analytics Business Analyst,,Full-time,Chennai,,Offial Website,25-01-2024,No Response,No response received,
60,Confidential,Data Analyst,,Full-time,Bangalore,Data Analysis Â· Microsoft Excel Â· Microsoft Power BI Â· Python (Programming Language) Â· SQL Â· Tableau Â· Business Analysis Â· Communication Â· User Experience (UX) Â· Written Communication,LinkedIn,25-01-2024,No Response,No response received,Google form (apply form)
61,Awesome Analytics,Data Analyst,,Full-time,Remote,"Data Analysis, Data Analytics, Microsoft Power BI, VBA Excel, Data-Driven Insights, Diversity, Excel Automation, Fostering inclusivity, Microsoft Power Automate, Skill Development",LinkedIn (Official website),25-01-2024,No Response,No response received,
62,WebGo Software Labs,Data Analyst,,Internship,Remote,"data,data analysis,organizational skills",LinkedIn,25-01-2024,No Response,No response received,
63,Ozibook Tech Solutions Private Limited,Data Labs Intern,,Full-Time,Bangalore,"Excel, Pandas",Official Website,25-01-2024,No Response,No response received,
64,Rekruton Technologies,Data Analyst,,Full-time,India(Remote),"Analytical Skills, Dashboards, Data Analytics, Data Manipulation, Image Editing, Business Analysis, Communication, Key Metrics, Key Performance Indicators. Problem-Solving",LinkedIn,26-01-2024,No Response,No response received,
65,CloudHire,Data Analyst,,Full-time,India(Remote),Statistical Data Analysis Â· Visualization Â· Analytics Â· Data Mining Â· Data Analytics Â· Data Science Â· Data Visualization Â· Data Architecture Â· Statistical Analysis Â· Data Profiling,LinkedIn,26-01-2024,No Response,No response received,
66,Insticator,Data Analyst,,Contract,Remote,"Data Analysis, Data Analytics, Data Visualization, Databases, and Spreadsheets, Attention to Detail, Communication, Google Sheets, Presentation Skills, and Presentations
",Offial Website,26-01-2024,No Response,No response received,
67,Right Customer,Data Analyst,,Full-time,Remote,,LinkedIn,26-01-2024,Proceed with Another Candidate,Consider other opportunities,
68,S&P Global,Data Analyst,293364,Full-time,Bangalore,Databases Â· Visualization Â· Mathematics Â· Analytics Â· Data Analytics Â· Data Science Â· Data Visualization Â· Computer Science Â· Problem Solving Â· Communication,Offial Website & LinkedIn,26-01-2024,No Response,No response received,
69,BharatX,Data Analyst,,Full-time,Bangalore,"SQL, Python, Tableau, Power BI, Dashboards Â· Databases Â· Visualization Â· Data Science Â· Data Visualization Â· Data Analytics Â· Analytical Skills Â· Statistics Â· Communication Â· Problem Solving",LinkedIn,26-01-2024,Rejected,Consider other opportunities,
70,Tata Consultancy Services,Power BI,,Full-time,Hyderabad,"SQL, DAX",LinkedIn,26-01-2024,No Response,No response received,
71,InfiHire,Data Analyst,,Full-time,Bangalore,Visualization Â· Data Analysis Â· Analytics Â· Data Visualization Â· Data Science Â· Data Analytics Â· Presentations Â· Predictive Analytics Â· Communication Â· Problem Solving,LinkedIn,26-01-2024,No Response,No response received,
72,Isourse,Data Analyst (License Compliance),,Full-Time,Delhi,"SQL, Excel, Python libraries (Matplotlib, Seaborn), TensorFlow",Indeed,26-01-2024,No Response,No response received,
73,McCormick & Company,Data Visualization Analyst,,Full-time,Gurugram,"Analytical Skills Â· Dashboards Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Microsoft Power BI Â· Business Intelligence (BI) Â· SAP HANA Â· Scorecard Â· Structured Data power BI, Power Query, SQL",LinkedIn,27-01-2024,No Response,No response received,Message sent to  Sneha Kankerval on LinkedIn (and applied on LinkedIn)
74,Trafigura,Analyst - Information Analytics,,Full-time,Mumbai,"Python, Tableau, SQL databases",Naukri.com,27-01-2024,No Response,No response received,
75,Eduvanz,Business Analyst - SQL Specialist,,Full-time,Mumbai,"SQL Queries, SQL DatabaseSQL",Naukri.com,27-01-2024,No Response,No response received,
76,Creative Hands HR,Data Analytic | Business Analytics,,Full-time,"Kolkata, Mumbai, Hyderabad/Secunderabad, Ranchi, Jharkhand, Chennai, Bangalore",Business Analytics Data Analysis Data Analytics excel Analytical Skills freshers MIS Data Analyst,Naukri.com,27-01-2024,Proceed with Another Candidate,Consider other opportunities,
77,Codenera,Data Analyst Trainee,,Full-time,Pune,"Python, SQL Development, Data Management, Data Analysis, SQL Database, Data Mining, Data Extraction, Python Development, Data Analytics, SQL, DBA",Naukri.com,27-01-2024,No Response,No response received,
78,Sukarma Technologies,AI - Data Analytics - Text Analytics - Chatbot,,Full-time,WFH,"Text analysis,Advanced Excel,Chat Bot",Naukri.com,27-01-2024,No Response,No response received,
79,JLL,Data Analyst,REQ336572,Full-time,Mumbai,"MS Office (WORD, PPTX, EXCEL), Data Visualization by day, week, quarter...",Official Website,27-01-2024,No Response,No response received,
80,Wipro,Data Analyst,,Full-time,Pune,Visualization Â· SQL Â· Data Analytics Â· Data Visualization Â· Data Science Â· Analytics Â· RDBMS Â· PySpark Â· Written Communication Â· Communication,LinkedIn,27-01-2024,No Response,No response received,
81,Pianalytix Edutech Private Limted,Microsoft Power BI,,Internship (Part-time),WFH,"Business Analysis, Data Analysis, Data Analytics, Power BI",Internshala,27-01-2024,No Response,No response received,
82,YTViews Digital Media Private Limited,Artificial Intelligence (AI),,Internship (Part-time),WFH,"Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, Python",Internshala,27-01-2024,No Response,No response received,
83,Deloitt,Data Visualization/Tableau Developer,170683,Full-time,Hyderabad/Bangalore,"DevOps principals such as Continuous Integration/Continuous Delivery, Azure DevOps, Tableau,",Official Website,27-01-2024,No Response,No response received,
84,Tata Technologies,ALM Users - Data Mining,,Full-time (3 Month),Bangalore/Pune,,Official Website,27-01-2024,No Response,No response received,Mail Sent to shital.jakkulwar@tatatechnologies.com
85,Innovaccer Inc.,Intern - Data Operations,,Full-time,Noida,"advanced MS Excel, PowerBI, Tableau, Word, PowerPoint, etc",LinkedIN--> Website,28-01-2024,No Response,No response received,
86,Innometrics Solutions,Intern - Data Operations,,Full-Time,Chennai,"NLP, Python libraries (Matplotlib, Seaborn), Excel",Naukri,28-01-2024,Rejected,Consider other opportunities,
87,Sybex Support Services,Data Governance Analyst,,Contract,Remote (India),Analytical Skills Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Ad Hoc Analysis Â· Big Data Â· Data Governance,LinkedIn,29-01-2024,No Response,No response received,
88,Lennox India Technology Centre,Senior Analyst -Labview Development,,Full-time,Chennai,"MATLAB, Simulink, HIL, NI LabVIEW",LinkedIn,29-01-2024,Proceed with Another Candidate,Consider other opportunities,
89,Inspire,Tech Data Analyst,T500-9791,Full-time,Hyderabad,"Data Analysis, Extract, Transform, Load (ETL)",LinkedIn,29-01-2024,No Response,No response received,
90,Innometrics Solutions,Data Analyst (Fresher Trainee),,Full-time,Remote,"Solid knowledge of website analytics tools (e.g., Google Analytics, Web Trends),  data, analytics, management, python, SQL, power bi",LinkedIN--> Website,29-01-2024,No Response,No response received,
91,Siemens Healthineers,Data Visualization & Business Intelligence Specialist,404268,10 months Contract,Bangalore,"Data Visualization Â· Databases Â· Data Engineering Â· Analytical Skills Â· Data Analytics Â· Analytics Â· Data Science Â· Big Data Â· Extract, Transform, Load (ETL) Â· Data Modeling",LinkedIN--> Website,29-01-2024,No Response,No response received,
92,Wrike,Customer Support Data Analyst,,1 Year (Contract),Bengaluru,"knowledge of SQL, databases (we use Google BigQuery) and statistics basics, Knowledge of BI tools, Strong analytical and problem-solving skills, Experience with Python",LinkedIN--> Website,29-01-2024,No Response,No response received,
93,Wipro,Data Engineer,3049365,Full-Time,Bengaluru,"Apache Spark, Data Analytics, Data Engineering, Data Science, and Databases, Attention to Detail, Communication, Data Warehousing, Extract, Transform, Load (ETL), and Problem Solving",LinkedIN--> Website,29-01-2024,No Response,No response received,
94,Siemens Healthcare Private Limited,Software Developer,399036,Full-time,Bengaluru,"Python, OOPS programming skills, C++",Website,30-01-2024,No Response,No response received,
95,Square Yards,Data Analyst,,Full-time,Gurugram,"Mathematics, Ad Hoc Analysis, Data Mining, Statistics, Analytics, Big Data, Analytical Skills",Website,30-01-2024,Rejected,Consider other opportunities,
96,Agrim Wholesale,Business Analyst,,Full-time,Gurugram,"Business Analytics,Advanced Excel,SQL,Data Insighting",Naukri.com,30-01-2024,No Response,No response received,
97,Prodigy Recruitment Consultants,Data Scientist,,Full-time,Chennai,"Data Science, Data Scientist, Statistical Modeling, Predictive Modeling, Data Mining, Regression Modeling, Statistics, R, Mechine Learning, data analysis using SQL, regression Classification, Data Visualization, Data Analytics, Predictive Analytics, Python, ML",Naukri.com,31-01-2024,No Response,No response received,
98,Morningstar,Junior Analyst,,Full-time,Navi Mumbai,"Administration, Visual Basic, Excel, Regulatory reporting, Analytical, Workflow, Manager Quality Control, SQL, Data extraction, Python",Naukri.com,31-01-2024,No Response,No response received,
99,Analytics Jobs,Data Science Engineer,,Full-time,Remote (Bangalore office),"Artificial Intelligence, machine learning, data science, Data Analytics, Python, Tensorflow, Automation, Natural Language Processing, HTML, HTTP, Deep Learning, apache, computer vision
",Naukri.com,31-01-2024,Proceed with Another Candidate,Consider other opportunities,
100,Wrtr Ink Llp,Junior Data Scientist,,,Remote (Bengaluru office),Data Science analytical Pandas NumPy Statistics Machine Learning Deep Learning Scikit-Learn Python,Naukri.com,01-02-2024,No Response,No response received,
101,Coursry,Data Analyst,,Full-time,Noida,Analytical Skills Â· Analytics Â· Data Analysis Â· Data Analytics Â· Data Mining Â· Mathematics Â· SQL Â· Statistics Â· Ad Hoc Analysis Â· Big Data,LinkedIn,01-02-2024,No Response,No response received,
102,Turing,Data Analyst,,Internship,Remote,English Â· Analytical Skills Â· Datasets Â· Jupyter Â· Python (Programming Language) Â· Databases Â· Data Analysis Â· Data Analytics Â· Data Science Â· Communication,LinkedIn (Call-Mail),01-02-2024,Rejected,Consider other opportunities,
103,Rotork,Data Analyst,,Full-time,Chennai,"Data Analytics, Data Cleaning, Data Visualization, Databases, Communication, Creative Problem Solving, Data Architecture. Data Profiling, Problem-Solving. Stored Procedures",LinkedIn,01-02-2024,No Response,No response received,Process of Company (If given)
104,Novo,Data Analyst,,Full-time,Gurugram,Data Analysis Â· Python (Programming Language) Â· SQL,LinkedIn,01-02-2024,Proceed with Another Candidate,Consider other opportunities,
105,Air India Express,Data Scientist,2816,Full-time,Gurugram,Analytics Â· Statistical Data Analysis Â· Statistics Â· Data Engineering Â· Data Visualization Â· Deep Learning Â· Data Analytics Â· Predictive Analytics Â· Natural Language Processing (NLP) Â· Cascading Style Sheets (CSS),,01-02-2024,No Response,No response received,
106,ZOHO,Software Developer,,Full-time,ND,"C, C++ & Java",Official website,01-02-2024,No Response,No response received,
107,JioSaavn,Data Processing Analyst,,Full-time,Hyderabad,"Data Analytics, Python",Naukri,01-02-2024,No Response,No response received,
108,Siemens Healthineers,Analyst,,Internship (4 months),Hyderabad,"Jupyter Notebook, Deep Learning",Indeed,01-02-2024,No Response,No response received,
109,Viney Ji Enterprises,Data Science,,Full-Time,WFH,"Excel, Jupyter Notebook, Google Sheets",Naukri,01-02-2024,Rejected,Consider other opportunities,
110,Viney Ji Enterprises,Decision Analytics Associate,,Full-Time,Hyderabad,"SQL, Machine Learning",Internshala,02-02-2024,No Response,No response received,
111,LatentView,Analyst Data Science,,Full-time,Chennai,"Python, SQL, PowerBI, Tableau, cloud platforms such as AWS, Azure, GCP etc would be preferable",Naukri.com,03-02-2024,No Response,No response received,
112,Innovaccer,Customer Data Operation - II,,Full-time,Noida,"Health insurance, Application support, Skill development, Healthcare power bi Subject Matter Expert Analytics SQL Python",Naukri.com,03-02-2024,No Response,No response received,
113,RapiPay Fintech,Business Analyst,,Full-time,Noida,Business Analysis Change Management Risk Assessment Impact Analysis Data Analysis Process Modeling Data Modeling Quality Assurance,Naukri.com,03-02-2024,No Response,No response received,
114,Silverline Prestige School Part Of Silverline Educ Silverline Education Trust,Data Analyst,,,"Ghaziabad,Uttar Pradesh, Delhi / NCR","Power Bi, Data Analysis, Tableau, SQL, Python, GCP, Data Visualization, Looker, Web Development",Naukri.com,03-02-2024,No Response,No response received,
115,Avaari,Artificial Intelligence (AI),,Internship with Job offer (1 Month),Chennai,"Deep Learning, Machine Learning, Natural Language Processing (NLP), Python",Internshala,03-02-2024,No Response,No response received,
116,Jambudweep Shodh Kendra,Data Analytics,,Internship  with Job offer(2 Month),WFH,"Data Analysis, Data Analytics, Data Science, MS-Excel , MS-PowerPoint, NoSQL, Power BI, Python, R Programming, SQL, Tableau",Internshala,03-02-2024,Rejected,Consider other opportunities,
117,Reach Technologies,Data Science,,Internship (3 Months),WFH,Data Analytics,Internshala,03-02-2024,No Response,No response received,
118,MentorBoxx,Data Science,,Internship (1 Months),WFH,"Data Analytics, Data Science, Python, SQL",Internshala,03-02-2024,No Response,No response received,
119,Pianalytix Edutech Private Limted,Data Science,,Internship (3 Months),WFH,"Data Science, Machine Learning, Python",Internshala,03-02-2024,No Response,No response received,
120,Buddha Education Association Incorporation,Machine Learning,,Internship (2 Months),,"Data Analytics, Data Science, Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, R Programming",Internshala,03-02-2024,No Response,No response received,
121,Buddha Education Association Incorporation,Artificial Intelligence (AI),,Internship (1 Months),,"Data Structures, Natural Language Processing (NLP), Python",Internshala,03-02-2024,No Response,No response received,
122,Benovymed Healthcare,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,,Full-time,"Noida, Gurgaon, Delhi / NCR","Machine Learning, Data Science, Tensorflow, NLP, Data Scientist, Artificial Intelligence, Data Modeling, Numpy, Deep Learning, Python",Naukri.com,03-02-2024,Rejected,Consider other opportunities,
123,ExpertXai Technologies,Data Analytics / Analyst,Job ID: 79750,Full-time,Remote,"data, data analysis, data visualization, visualization, datasets, interpreting, skills, python, SQL",LinkedIn,03-02-2024,No Response,No response received,
124,Talent Disruptors,Data Analyst,,Full-time,Remote,"Google Data Studio, BigQuery, and Power BI, ",LinkedIn,03-02-2024,Rejected,Consider other opportunities,
125,Innometrics Solutions,Junior Data Analyst (Python/SQL),Job ID: 79729,Full-time,Remote,"data, analytics, data analytics, skills, google, python, sql, articulate, business requirements",LinkedIn,03-02-2024,Rejected,Consider other opportunities,
126,Innometrics Solutions,Data Analyst / Analytics,Job ID: 79732,Full-time,Remote,"Primary Skill: Data Analysis, SQL, Tableau, Looker, Python and ML",LinkedIn,03-02-2024,Rejected,Consider other opportunities,
127,PERSOLKELLY,Data Analyst,,Full-time,Bangalore,,LinkedIn,03-02-2024,No Response,No response received,
128,GreedyGame,Analyst,,Full-time,Mumbai,"Power BI, Deep Learning, Machine Learning",Internshala,03-02-2024,Rejected,Consider other opportunities,
129,Axtria,Analyst,100 opening,Full-time,"Pune, Noida, Hyderabad (hybrid)",analytics Java Excel data science SQL Python,Naukri.com,04-02-2024,No Response,No response received,
130,JioSaavn,Data Analyst,,Full-time,"Navi Mumbai, Maharashtra, Mumbai (All Areas)","R, Python, SQL",Naukri.com,04-02-2024,Rejected,Consider other opportunities,
131,Silver Eng,Data Analyst,,,"Mumbai, Pune",Data Science Data Analysis Data Analyst Testing,Naukri.com,04-02-2024,No Response,No response received,
132,17live,Serial Plotter - Technical Data Analyst,,,Noida ,"Statistics/ML, Statistics, Probability, or Information Retrieval,  Python (R is a plus), Relational databases, SQL, Pandas, Numpy, Sklearn, Matplotlib, Seaborn, data manipulation.",Naukri.com,04-02-2024,No Response,No response received,
133,Bombay Play,Data Analyst,,,Bangalore,"C++, Analytical Machine learning.  Javascript, Data Analyst, Open source, Statistics Analytics SQL Python",Naukri.com,04-02-2024,Proceed with Another Candidate,Consider other opportunities,
134,Findem,Researcher - Data Operations Intern,,Internship (6 Months),Remote,"Excel, Machine learning, Analytics",Naukri.com,04-02-2024,No Response,No response received,
135,iTech,Machine Learning,ITECH0235,Internship ,Chennai,"Machine Learning fundamentals and algorithms, Python, and familiarity with ML libraries like TensorFlow or PyTorch is a plus.",Official website,04-02-2024,No Response,No response received,
136,Arcadis,Graduate Data Analyst,19819,Full-Time,Bangalore,"Proficient in RDBMS - SQL, Build mathematical models in Python, Power BI",Official website,04-02-2024,No Response,No response received,
137,Pianalytix Edutech Private Limted,Data Science,,Full-Time,Delhi,"Google Sheets, Data Analytics, Tableau, NLP",Naukri,04-02-2024,No Response,No response received,
138,Eduvanz,Principal Data Scientist/Senior Data Scientist/Data Scientist - NLP/ML,,Internship (Part-time),Delhi,"Google Sheets, Statistics, Python, SQL",Internshala,04-02-2024,No Response,No response received,
139,SAZ India,Data Analyst,,Internship (3 Months),Hyderabad,"Deep Learning, Pandas, Tableau",Official Website,04-02-2024,No Response,No response received,
140,fascinatid,Junior Data Analyst,,Full-time,Chennai,"NLP, Excel",Indeed,04-02-2024,No Response,No response received,
141,Amazon,Data Analyst,2547347,Full-Time,Bangalore,"SQL skills, Microsoft Excel, SQL/Python/R, scripting, MS Excel, table joins, and aggregate analytical functions",Official website,05-02-2024,No Response,No response received,
142,Arich InfoTech,Train & Hire,,Full-Time,"Bangalore/Bengaluru, Pune, Tamil Nadu","BE/BTech,ME/MTech,MCA,MSc - All Stream 2021,2022,2024 Fresherâ€™s- Train & Hire Off Campus Drive of A Leading I.T.MNC",Naukri.com,05-02-2024,No Response,No response received,
143,WinZO,Data Analyst,,Full-Time,Remote,"Analytical Skills, Business Insights, Dashboards, Data Analysis, Data Analytics, Communication, Data Acquisition, Forecasting, New Business Opportunities, Tech Savy",LinkedIn,05-02-2024,Rejected,Consider other opportunities,
144,RazorPay,Analytics Specialist,,Full-Time,Bengaluru,Apply karna hai (asked for referral),,05-02-2024,Rejected,Consider other opportunities,
145,Aris Infra,Data Analyst,,Full-Time,Bengaluru,"Analytical Skills, Analytics , Data Analysis, Data Analytics, Data Mining, Mathematics, SQL, Statistics, Ad Hoc Analysis, Big Data",LinkedIn,05-02-2024,No Response,No response received,
